geo_id,city,zip,california_county,latitude,longitude,drinking_water,low_birth_weight,total_birth_pop,total_birth_count,birthing_rate,avg_birthing_age,teen_birth,geriatric_birth,female_employment_rate,unemployment_rate,health_insurance_coverage,disability,poverty_rate_families,poverty_rate_all,residence_over_1y,edu_less_than_hs,edu_some_hs,edu_hs,edu_some_college,edu_associate,edu_bachelors,edu_grad_prof,edu_hs_or_higher,edu_bachelors_or_higher,fms_never_married,fms_married_separated,fms_separated,fms_widowed,fms_divorced,foreign_born,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,foreign_born_not_citizen,limited_english,limited_english_spanish,limited_english_indo_euro,limited_english_aapi,limited_english_other
6097150305,Fetters Hot Springs-Agua Caliente,95476,Sonoma,38.3258969,-122.4926668,281.5374235,5.01,1540,273,0.17727272727272728,31.487179487179485,0,603.2893772893773,70.9,8.2,73.5,7.5,22.5,25.1,90.3,33.2,12.1,18.2,15.9,4.4,11,5.3,54.7,16.3,24.9,56.5,2.4,6.1,10.1,43.7,0.3,1.6,0,0,97.7,0.5,80.9,43.4,43.4,0,0,0
6097150306,Unincorporated Sonoma County area,95476,Sonoma,38.3391382,-122.4692305,386.2387391,5.26,790,51,0.06455696202531645,32.19607843137255,0,3229.372549019608,60.3,10,83.9,9.3,11.5,16,92.8,8,6.4,17,25.8,5.7,23,14.1,85.6,37.1,22.9,48.9,3.4,2.7,22.1,24.6,14.5,18.6,0,1,60.7,5.2,79.7,20.1,16.9,2.6,0.6,0
6097150500,Unincorporated Sonoma County area,95442,Sonoma,38.3800529,-122.5375898,483.6565605,2.93,895,259,0.28938547486033517,33.544401544401545,0,635.8996138996139,47.8,7.1,87.7,11.8,4.2,17.3,84.1,5.9,4,18.1,18.6,12.1,24.2,16.9,90,41.1,17.4,48.7,0.3,12.2,21.4,7.8,39.5,14.2,0,7.7,38.6,0,38.1,2.6,1.9,0.3,0.1,0.3
6097150601,Petaluma,94954,Sonoma,38.2376164,-122.6132539,273.3876027,3.43,833,34,0.04081632653061224,27,0,4844.058823529412,60.3,7.4,86.5,7,3.4,7.6,86.3,9.7,8.6,26.9,28.6,6.4,15.9,3.8,81.7,19.7,24.4,54.5,0,8,13.1,22.3,13.4,18.7,0,0,67.5,0.3,70.9,13.2,9.6,2.9,0.7,0
6097150602,Petaluma,94954,Sonoma,38.2440564,-122.6067891,273.3876027,3.44,941,8,0.008501594048884165,22,0,20587.25,65.3,5.4,94.9,6.7,4.7,6.4,94.4,4.7,3.7,26,22.4,9.2,22.5,11.5,91.6,34,24.5,55.5,0.5,7.9,11.5,17.4,32.1,37.9,0,0,30,0,23.8,10.2,5.9,1.4,2.9,0
6097150603,Petaluma,94954,Sonoma,38.2544898,-122.6179426,273.9010502,4.64,1415,100,0.0706713780918728,26.4,0,1646.98,58.4,6.7,91.7,11.7,7.3,9.9,83,5.9,12.6,19.6,25.6,8.9,19.7,7.6,81.4,27.3,22.3,44.6,2.6,12.6,17.9,20.2,8.9,23.2,0,0,59.1,8.8,67.7,9.2,6.2,2.2,0.8,0
6097150607,Unincorporated Sonoma County area,94954,Sonoma,38.2766584,-122.6437532,272.1068176,3.95,1164,105,0.09020618556701031,25.238095238095237,0,1568.5523809523809,60.8,9.6,90.3,6,3.4,4.9,92.2,3,3.4,18.4,26.7,6.4,31.4,10.7,93.6,42.2,25,57.9,0.5,4.6,12.1,17.4,14.3,43.7,1.2,0,38.1,2.7,42.2,5.7,2.4,1.8,1.5,0
6097150609,Petaluma,94954,Sonoma,38.2600055,-122.6438313,273.3876027,3.23,898,139,0.15478841870824053,35.489208633093526,0,1184.8776978417266,56.8,6.3,93.7,17.7,4.8,6.8,84.6,4.8,6.4,19.3,34.5,9,17,8.8,88.8,25.9,21.6,39,5.5,15.2,18.7,19.3,13,24.9,0.9,0,59.2,2,50.8,11.5,8.8,0.2,2.5,0
6097150610,Petaluma,94954,Sonoma,38.2654848,-122.6401777,273.5528373,3.75,975,83,0.08512820512820513,28.879518072289155,0,1984.313253012048,68.6,6.2,93.7,7.2,8.8,11,87.9,6.5,2.2,19.5,27.6,10,24.6,9.6,91.3,34.2,25.9,55.4,0.8,4.2,13.6,11.7,14.9,29.1,0,0,54.9,1.2,43.8,9.8,7.3,0.8,1.7,0
6097150611,Petaluma,94954,Sonoma,38.2329343,-122.579047,341.6099988,4.16,1058,129,0.1219281663516068,30.72093023255814,0,1276.7286821705427,72.6,7.1,84,9.9,12.1,15.7,77.5,8.7,4.8,15.4,22.9,9.2,26.1,12.7,86.4,38.9,33.7,46.4,2.1,5.6,12.2,24.4,9.2,13.9,20,0,56.1,0.8,54,10,8.2,0,1.4,0.3
6097150612,Unincorporated Sonoma County area,94954,Sonoma,38.2110204,-122.5331126,359.2506944,3.75,862,62,0.07192575406032482,22,0,2656.4193548387098,58.2,3.8,96,9.7,1.2,3.7,91.2,0.7,3.7,19.9,22,11,34.9,7.8,95.7,42.7,22.8,57.1,0,7.7,12.5,13,17.1,45.7,1.6,0,29.8,5.8,26,7.4,2.4,3.5,1.5,0
6097150701,Petaluma,94952,Sonoma,38.232937,-122.6301681,273.2692053,4.94,1436,107,0.0745125348189415,26.439252336448597,0,1539.233644859813,69.3,7.1,88,9.6,0,16.3,74.7,5.7,5.9,15.7,22.7,9.6,19.6,20.8,88.4,40.4,31.6,35.8,3.4,5.3,23.9,24.2,6.5,20.8,0,0,72.8,0,50.7,8.2,6.7,1.5,0,0
6097150702,Unincorporated Sonoma County area,94952,Sonoma,38.2010719,-122.6258528,300.7220993,3.11,923,8,0.00866738894907909,22,0,20587.25,59.6,6.3,92.6,5.4,1.2,3,95.1,0.9,0.4,17.2,18.5,9.4,32.4,21.1,98.7,53.5,17.8,61.6,0.7,4.3,15.5,11.7,25.2,17.6,0,2.3,54.7,0.2,58.1,8.2,6.5,0.9,0.6,0.2
6097150800,Unincorporated Sonoma County area,94952,Sonoma,38.2087678,-122.6647282,291.7769871,5.05,1297,42,0.03238242097147263,25.80952380952381,0,3921.3809523809523,63.2,7.4,90.5,9,10.4,15.3,91.2,3.7,4,19.2,20.8,9.6,29.2,13.5,92.3,42.6,28.1,45.4,2.7,9.4,14.5,16.6,12.4,25,1.7,4.3,55,1.7,63.4,11.3,9.2,0.5,1.3,0.3
6097150901,Petaluma,94952,Sonoma,38.2477398,-122.644126,273.253708,3.56,1245,50,0.040160642570281124,31.4,0,3293.96,69.1,11.5,86,8.6,13.3,11.8,84.5,9.9,11.7,16.1,20.4,6,27.1,8.9,78.4,36,37.9,39.8,2,4.9,15.3,21.6,10.3,6.9,0,0,79.7,3.1,53.3,13.5,11.7,0.5,1.3,0
6097150902,Petaluma,94952,Sonoma,38.2443637,-122.6532628,302.7406504,4.06,661,85,0.12859304084720122,23.58823529411765,0,1937.6235294117646,61.3,6,94.1,11.7,4.7,7.8,89.9,0.5,3.3,17.7,28.2,8,23.7,18.7,96.2,42.4,23.1,46.2,1.3,11.7,17.8,6.2,21.5,34.4,0,4.3,30.1,9.6,67.9,3.7,2.1,1.2,0.3,0
6097151000,Unincorporated Sonoma County area,94952,Sonoma,38.2576575,-122.6798743,363.9688839,3.4,848,8,0.009433962264150943,39.75,0,20587.25,66.3,7.7,87.1,10.9,5,8.3,87.2,4.5,7.1,20.2,24.5,11.7,20.6,11.3,88.3,31.9,34.2,46.9,0.7,8.5,9.7,15.5,19.4,11,2.2,0,65.8,1.5,54.6,8.2,7.8,0.2,0.2,0
6097151100,Unincorporated Sonoma County area,94952,Sonoma,38.2711754,-122.752421,481.1838189,2.45,1296,48,0.037037037037037035,28.145833333333332,0,3431.2083333333335,63.6,9.4,92,8.8,3.2,6.9,87.9,4.1,5.3,22.7,27.5,9.6,20.9,9.9,90.7,30.8,22.8,57.2,2.6,7.2,10.1,9.8,19.9,6.8,0,0.7,71.4,1.1,59,7,5.8,0.6,0.5,0.1
6097151201,Penngrove,94931,Sonoma,38.3395569,-122.719615,431.3149234,3.98,1697,196,0.1154979375368297,34.19387755102041,0,840.295918367347,56.7,10.3,90,14.4,10.2,11.9,83.9,7.6,6.8,19.1,25.4,8.4,25.9,6.8,85.6,32.7,32,41.3,1.5,7,18.2,17.7,17.5,18.4,0,1.3,58.9,3.9,49.3,8.1,4.9,2,1.2,0
6097151203,Cotati,94931,Sonoma,38.3222713,-122.6934004,335.3823577,3.82,1344,76,0.05654761904761905,29.56578947368421,0,2167.0789473684213,65,9.2,90.5,11.9,7.4,14,86.9,3.4,3.2,23.3,31.7,7.6,21,9.8,93.5,30.8,37.5,40.3,2.2,5.9,14.1,11.4,14.7,17.3,17.4,16.5,34.1,0,39.7,4,2.1,1.2,0.7,0
6097151204,Cotati,94931,Sonoma,38.3184467,-122.7071979,301.8733497,2.6,931,118,0.1267454350161117,33.186440677966104,0,1395.7457627118645,67,8.6,90.5,6,12.8,14.4,84.5,7.5,6.9,17.2,27.7,9,20.9,10.7,85.5,31.6,33.3,41.7,1.7,3.9,19.3,14.5,13.9,21.9,7.6,0,56.6,0,45.9,9,6.4,0,2.7,0
6097151301,Rohnert Park,94928,Sonoma,38.3342135,-122.7001886,382.2421996,3.22,1622,112,0.0690505548705302,26.419642857142858,0,1470.517857142857,60.2,11.3,84.6,8,5.9,14.6,82.8,10.4,9.8,30.5,25.1,6.7,13.4,4.1,79.8,17.5,41.9,33.7,3.6,7,13.8,21.9,10,4.5,1.2,5.4,78.9,0,77.4,19.1,18,1,0.2,0
6097151305,Rohnert Park,94928,Sonoma,38.3433893,-122.7067009,373.8468915,6.5,1710,204,0.11929824561403508,31.352941176470587,0,807.343137254902,58.5,5.9,80,15.5,11.5,17.2,81.9,5.7,8.5,22.1,32.7,10,15.4,5.4,85.7,20.9,40.4,29.5,2.6,10.3,17.1,18.8,6.5,15.6,8.3,1.6,65.1,2.9,61,14.4,13.8,0,0.6,0
6097151306,Rohnert Park,94928,Sonoma,38.347139,-122.6932768,373.8468915,5.86,870,35,0.040229885057471264,23.285714285714285,0,4705.657142857143,71.6,6,87.1,10.1,5.9,11.8,81.9,3.3,4.6,24.4,27.9,16.6,16.5,6.8,92.1,23.2,36.7,38.7,0.7,7.1,16.8,16.5,20,38.1,1.3,0,40.6,0,49.4,8.9,6.6,1.6,0.8,0
